Ignacy Sapiecha,M, Poland
Stefania Chawraj,F, Poland
Jan Skrzypa,M, Poland
Józef Skrabański,M, Poland
Franciszek Skrabański,M, Poland
Marianna Jarosz,F, Poland
Wojciech Skrzypa,M, Poland
J�zef Skrzypa,M, Poland
Katarzyna Krasowska,F, Poland
Władysława Skrzypa,F, Poland
J�zef Skrzypa,M, Poland
Katarzyna Krasowska,F, Poland
Antoni Skrabański,M, Poland
Franciszek Skrabański,M, Poland
Marianna Jarosz,F, Poland
Anna Skrzypa,F, Poland
Ludwik Skrzypa,M, Poland
Agnieszka Szerement,F, Poland
Bronisław Sitarz,M, Poland
Jan Sitarz,M, Poland
Stanisława Kudyba,F, Poland
Stanisław Sitarz,M, Poland
Michał Sitarz,M, Poland
Tekla Turek,F, Poland
Kazimierz Sapiecha,M, Poland
J�zefa Sapiecha,F, Poland
Władysław Sapiecha,M, Poland
Paulina Zosiuk,F, Poland
Antoni Sitarz,M, Poland
J�zef Sitarz,M, Poland
Stanisława Bednarczuk,F, Poland
Janina Słoniec,F, Poland
Franciszek Słoniec,M, Poland
Katarzyna Swatowska,F, Poland
Leokadia Sitarz,F, Poland
Jan Sitarz,M, Poland
Stanisława Kudyba,F, Poland
Helena Skrzypa,F, Poland
Ignacy Skrzypa,M, Poland
Franciszka Chmielewska,F, Poland
Aniela Skrzypa,F, Poland
J�zef Skrzypa,M, Poland
Katarzyna Krasowska,F, Poland
Julian Psiuk,M, Poland
Stefan Psiuk,M, Poland
Ksawera Sitarz,F, Poland
Franciszka Skrzypa,F, Poland
Szymon Skrzypa,M, Poland
Aleksandra Bielak,F, Poland
Stanisław Skrzypa,M, Poland
Ludwik Skrzypa,M, Poland
Agnieszka Szerement,F, Poland
Franciszek Skrzypa,M, Poland
Jan Skrzypa,M, Poland
Aleksandra Łuczko,F, Poland
Franciszek Skrzypa,M, Poland
Władysław Skrzypa,M, Poland
Anastazja Sałamacha,F, Poland
Jan Skorupski,M, Poland
Edward Skorupski,M, Poland
Otylia Ewelina Zofia Banier,F, Poland
Janina Psiuk,F, Poland
Szczepan Psiuk,M, Poland
Ksawera Sitarz,F, Poland
Karol Skrzypa,M, Poland
Ludwik Skrzypa,M, Poland
Rozalia Chmielewska,F, Poland
Bolesław Śledź,M, Poland
Tomasz Śledź,M, Poland
Kazimiera Wujtowicz,F, Poland
Kazimiera Śliwińska,F, Poland
Jan Śliwiński,M, Poland
Stanisława Sokołowska,F, Poland
Franciszka Śledź,F, Poland
Ignacy Śledź,M, Poland
J�zefa Wujtowicz,F, Poland
Jan Skrzypa,M, Poland
Ignacy Skrzypa,M, Poland
Franciszka Chmielewska,F, Poland
Marianna Słoniec,F, Poland
Franciszek Słoniec,M, Poland
Katarzyna Swatowska,F, Poland
J�zefa Sitarz,F, Poland
Stanisław Sitarz,M, Poland
Salomea Blacha,F, Poland
Aleksander Sitarz,M, Poland
Michał Sitarz,M, Poland
Tekla Turek,F, Poland
Stanisław Sitarz,M, Poland
Stanisław Sitarz,M, Poland
Salomea Blacha,F, Poland
Anna Sitarz,F, Poland
J�zef Sitarz,M, Poland
Stanisława Bednarczuk,F, Poland
Czesław Słomka,M, Poland
Józef Słomka,M, Poland
Agnieszka Oleszko,F, Poland
Edward Skrzypa,M, Poland
Ignacy Skrzypa,M, Poland
Franciszka Chmielewska,F, Poland
Paweł Sitarz,M, Poland
J�zef Sitarz,M, Poland
